ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
00601,10260,2,18465,7695,165132671,164333375,18570,7744,167459085,166659789,19483,8125,173777444,172725651,99.43,99.37,98.61,98.6,94.77,94.71,95.03,95.14
00601,46580,2,105,49,2326414,2326414,18570,7744,167459085,166659789,33149,14192,298027589,294039825,.57,.63,1.39,1.4,.32,.35,.78,.79
00602,10380,1,41520,18073,83734431,79288158,41520,18073,83734431,79288158,306292,138855,1283409618,928441564,100,100,100,100,13.56,13.02,6.52,8.54
00603,10380,1,54689,25653,82063867,81880442,54689,25653,82063867,81880442,306292,138855,1283409618,928441564,100,100,100,100,17.86,18.47,6.39,8.82
00606,41900,1,89,38,6679806,6679806,6615,2877,109592548,109580061,137462,69481,955442678,571498111,1.35,1.32,6.1,6.1,.06,.05,.7,1.17
00606,49500,1,250,99,8048393,8048393,6615,2877,109592548,109580061,107333,45631,726214759,497613517,3.78,3.44,7.34,7.34,.23,.22,1.11,1.62
00610,10380,1,29016,12618,97193468,93021467,29016,12618,97193468,93021467,306292,138855,1283409618,928441564,100,100,100,100,9.47,9.09,7.57,10.02
00612,41980,1,67010,30992,184915406,175106243,67010,30992,184915406,175106243,2478905,1073552,5223033344,4117856690,100,100,100,100,2.7,2.89,3.54,4.25
00616,41980,1,11017,4896,30019620,29870473,11017,4896,30019620,29870473,2478905,1073552,5223033344,4117856690,100,100,100,100,.44,.46,.57,.73
00617,41980,1,24597,10594,43335127,39347158,24597,10594,43335127,39347158,2478905,1073552,5223033344,4117856690,100,100,100,100,.99,.99,.83,.96
00622,41900,1,7853,8714,76771945,75077028,7853,8714,76771945,75077028,137462,69481,955442678,571498111,100,100,100,100,5.71,12.54,8.04,13.14
00623,41900,1,43061,21426,100001387,98367847,43061,21426,100001387,98367847,137462,69481,955442678,571498111,100,100,100,100,31.33,30.84,10.47,17.21
00624,38660,1,1961,686,4468805,4466247,26241,9905,114316394,111791516,243147,99359,874803803,545648108,7.47,6.93,3.91,4,.81,.69,.51,.82
00624,49500,1,24280,9219,109847589,107325269,26241,9905,114316394,111791516,107333,45631,726214759,497613517,92.53,93.07,96.09,96,22.62,20.2,15.13,21.57
00627,41980,1,35159,14431,123565360,120058334,35159,14431,123565360,120058334,2478905,1073552,5223033344,4117856690,100,100,100,100,1.42,1.34,2.37,2.92
00631,10260,2,611,257,4952120,4699623,1852,842,11084632,10414662,19483,8125,173777444,172725651,32.99,30.52,44.68,45.13,3.14,3.16,2.85,2.72
00631,10380,1,1241,585,6132512,5715039,1852,842,11084632,10414662,306292,138855,1283409618,928441564,67.01,69.48,55.32,54.87,.41,.42,.48,.62
00637,41900,1,25176,10920,86151847,86126524,25287,10962,89251345,89226022,137462,69481,955442678,571498111,99.56,99.62,96.53,96.53,18.31,15.72,9.02,15.07
